schoolId,county,district,school,grades,prek,elementary,middle,high,website,Lat,Lng,address_short,parochial,max_tuition,sibling_discount,Pre-K,K,Grade 01,Grade 02,Grade 03,Grade 04,Grade 05,Grade 06,Grade 07,Grade 08,Grade 09,Grade 10,Grade 11,Grade 12
195,San Mateo,Belmont-Redwood Shores Elementary,Charles Armstrong School,2-8,,1,1,,https://www.charlesarmstrong.org/,37.510584,-122.283688,"1405 Solana Dr., Belmont",, 58.2k,,,,, 57.0k, 57.0k, 57.0k, 57.0k, 58.2k, 58.2k, 58.2k,,,,
79,Contra Costa,Mt. Diablo Unified,Hope Academy for Dyslexics,3-8,,1,1,,https://hopeconcord.org/,37.957323,-121.952202,"5353 Concord Blvd., Concord",, 19.7k,,,,,, 19.7k, 19.7k, 19.7k, 19.7k, 19.7k, 19.7k,,,,
35,Alameda,Berkeley Unified,The Crowden School,3-8,,1,1,,https://www.crowden.org/,37.879238,-122.283499,"1475 Rose St., Berkeley",, 38.0k,,,,,, 35.0k, 35.0k, 35.0k, 38.0k, 38.0k, 38.0k,,,,
50,Alameda,Oakland Unified,Pacific Boychoir Academy,3-8,,1,1,,https://www.pacificboychoir.org/,37.828988,-122.252938,"215 Ridgeway Ave., Oakland",, 28.5k,,,, 20.9k, 20.9k, 20.9k, 20.9k, 20.9k, 28.5k, 28.5k, 28.5k,,,,
49,Alameda,Newark Unified,Stellar Academy for Dyslexics,3-8,,1,1,,https://www.stellaracademy.org/,37.51806,-122.004009,"39399 Cherry St, Newark",, 29.5k,,,,,, 29.5k, 29.5k, 29.5k, 29.5k, 29.5k, 29.5k,,,,
323,San Francisco,San Francisco Unified,Sterne School,4-12,,1,1,1,https://www.sterneschool.org/,37.795902,-122.40491,"838 Kearny St., San Francisco",, 47.2k,,,,,,, 44.9k, 44.9k, 44.9k, 44.9k, 44.9k, 47.2k, 47.2k, 47.2k, 47.2k
283,San Francisco,San Francisco Unified,Nomad,5-8,,1,1,,https://www.sf-nomad.com/,37.75586,-122.414604,"2590 Folsom St., San Francisco",, 41.8k,,,,,,,, 41.8k, 41.8k, 41.8k, 41.8k,,,,
298,San Francisco,San Francisco Unified,San Francisco High School of the Arts,5-12,,1,1,1,https://www.highschoolofthearts.org/,37.770477,-122.453,"1950 Page St., San Francisco",, 41.1k,,,,,,,,, 30.8k, 30.8k, 30.8k, 41.1k, 41.1k, 41.1k, 41.1k
242,San Francisco,San Francisco Unified,Academy of Thought and Industry - Virtual,6-8,,,1,,https://thoughtandindustry.com/schools/virtual-school,37.80456,-122.43391,"3741 Bucha' ' St., San Francisco",, 15.8k,,,,,,,,, 15.8k, 15.8k, 15.8k, 15.8k, 15.8k, 15.8k, 15.8k
27,Alameda,Berkeley Unified,East Bay School for Boys,6-8,,,1,,https://www.ebsfb.org/,37.867204,-122.262716,"2340 Durant Ave., Berkeley",, 38.3k,,,,,,,,, 38.3k, 38.3k, 38.3k,,,,
20,Alameda,Oakland Unified,Julia Morgan School for Girls,6-8,,,1,,https://www.juliamorganschool.org/,37.783361,-122.188108,"5000 Macarthur Blvd., #25, Oakland",, 42.1k,,,,,,,,, 42.1k, 42.1k, 42.1k,,,,
280,San Francisco,San Francisco Unified,Millennium School of San Francisco,6-8,,,1,,https://www.millenniumschool.org/,37.768776,-122.42181,"245 Valencia St., San Francisco",, 44.0k,,,,,,,,, 44.0k, 44.0k, 44.0k,,,,
326,San Francisco,San Francisco Unified,Stratford School San Francisco Middle School,6-8,,,1,,https://www.stratfordschools.com/schools/northern-california/san-francisco/san-francisco-middle-school/,37.727055,-122.43531,"75 Francis St., San Francisco",, 30.9k,,,,,,,,, 30.9k, 30.9k, 30.9k,,,,
68,Alameda,Dublin Unified,Valley Christian Middle / Senior High School,6-12,,,1,1,https://valleychristianschools.org/elementary-school/,37.701345,-121.954154,"7500 Inspiration Dr., Dublin",parochial, 23.0k,,,, 18.0k, 18.0k, 18.0k, 18.0k, 18.0k, 20.5k, 20.5k, 20.5k, 23.0k, 23.0k, 23.0k, 23.0k
6,Contra Costa,San Ramon Valley Unified,The Athenian School,6-12,,,1,1,https://www.athenian.org/,37.834385,-121.948344,"2100 Mount Diablo Scenic Blvd., Danville",, 60.8k,,,,,,,,, 70.5k, 70.5k, 70.5k, 76.0k, 76.0k, 76.0k, 76.0k
223,San Mateo,San Mateo Union High,Crystal Springs Uplands School,6-12,,,,1,https://www.crystal.org/,37.557956,-122.338826,"400 Uplands Dr., Hillsborough",, 64.1k,,,,,,,,, 63.9k, 63.9k, 63.9k, 64.1k, 64.1k, 64.1k, 64.1k
214,San Mateo,Pacifica,Pacific Bay Christian School,6-12,,,1,1,https://www.pacbay.org/,37.586112,-122.492828,"1030 Linda Mar Blvd., Pacifica",parochial, 25.3k,,,,,,,,, 20.3k, 20.3k, 20.3k, 25.3k, 25.3k, 25.3k, 25.3k
239,San Mateo,Sequoia Union High,Woodside Priory,6-12,,,1,1,https://www.prioryca.org/,37.375907,-122.213112,"302 Portola Rd., Portola Valley",parochial, 62.0k,1,,,,,,,, 76.0k, 76.0k, 76.0k, 76.0k, 76.0k, 76.0k, 76.0k
311,San Francisco,San Francisco Unified,St. Ignatius College Preparatory,6-12,,,1,1,https://www.siprep.org/,37.748863,-122.49582,"2001 37th Ave., San Francisco",parochial, 33.0k,,,,,,,,, 33.0k, 33.0k, 33.0k, 33.0k, 33.0k, 33.0k, 33.0k
44,Alameda,Fremont Unified,Alsion Montessori Middle/High,7-12,,,1,1,https://alsionschool.org/,37.532318,-121.913485,"750 Witherly Ln., Fremont",, 32.1k,,,,,,,,,, 32.1k, 32.1k, 32.1k, 15.1k, 15.1k, 15.1k
46,San Mateo,Sequoia Union High,Stanford Online High School,7-12,,,1,1,https://ohs.stanford.edu/,37.484907,-122.20292,"415 Broadway Academy Hall, Floor 2, Redwood City",, 29.9k,,,,,,,,,,,, 29.9k, 29.9k, 29.9k, 29.9k
39,Alameda,Oakland Unified,Mentoring Academy,8-12,,,1,1,https://www.mentoringacademy.org/,37.848022,-122.252485,"5951B College Ave., Oakland",, 36.0k,,,,,,,,,,,, 36.0k, 36.0k, 36.0k, 36.0k
8,Contra Costa,Acalanes Union High,Orinda Academy,8-12,,,1,1,https://www.orindaacademy.org/,37.883996,-122.183665,"19 Altarinda Rd., Orinda",, 53.8k,,,,,,,,,,, 38.7k, 53.8k, 53.8k, 53.8k, 53.8k
80,Alameda,Fremont Unified,Averroes High School,9-12,,,,1,https://averroeshighschool.com/,37.53139,-121.920016,"43427 Mission Blvd, Fremont",parochial, 17.3k,,,,,,,,,,,, 17.3k, 17.3k, 13.1k, 10.6k
23,Contra Costa,Acalanes Union High,Holden High School,9-12,,,,1,https://holdenhigh.org/unlistedgclid=CjwKCAiAlJKuBhAdEiwAnZb7lSG7vcDzDzb2WdZ7nUPch81jpC7dXRUWJbYRX0VYcfBCZQgiiksiLxoC8mAQAvD_BwE,37.885439,-122.189314,"10 Irwin Way, Orinda",, 44.6k,,,,,,,,,,,, 44.6k, 44.6k, 44.6k, 44.6k
